Trddt,Agmtcd,Clsprc,Stprc,Opint,Basis,X,Index_num,dt,Spot,Basis_Adj,X_Adj,rf_1m,rf_2m,rf_3m,rf_6m
2010/4/21,IF1005,3267.2,3266,5062,30.52,1,1,30,3236.68,29.32,1,1.15,1.292,1.3469,1.398
2010/4/21,IF1006,3292.8,3294,634,56.12,1,1,58,3236.68,57.32,1,1.15,1.292,1.3469,1.398
2010/4/21,IF1009,3348,3345.4,260,111.32,1,1,149,3236.68,108.72,1,1.15,1.292,1.3469,1.398
2010/4/21,IF1012,3409,3407.4,363,172.32,1,1,240,3236.68,170.72,1,1.15,1.292,1.3469,1.398
2010/4/28,IF1005,3129,3132.8,7092,31.65,1,1,23,3097.35,35.45,1,1.1961,1.3129,1.3297,1.4157
2010/4/28,IF1006,3172,3175.8,1299,74.65,1,1,51,3097.35,78.45,1,1.1961,1.3129,1.3297,1.4157
2010/4/28,IF1009,3255,3256.2,262,157.65,1,1,142,3097.35,158.85,1,1.1961,1.3129,1.3297,1.4157
2010/4/28,IF1012,3339.8,3341.4,414,242.45,1,1,233,3097.35,244.05,1,1.1961,1.3129,1.3297,1.4157
2010/5/5,IF1005,3076.4,3078.6,9600,40.01,1,1,16,3036.39,42.21,1,1.2076,1.2803,1.3113,1.4292
2010/5/5,IF1006,3115,3115.2,2221,78.61,1,1,44,3036.39,78.81,1,1.2076,1.2803,1.3113,1.4292
2010/5/5,IF1009,3198.4,3200.8,414,162.01,1,1,135,3036.39,164.41,1,1.2076,1.2803,1.3113,1.4292
2010/5/5,IF1012,3278,3281,551,241.61,1,1,226,3036.39,244.61,1,1.2076,1.2803,1.3113,1.4292
2010/5/12,IF1005,2836.2,2829.2,8144,18.04,1,1,9,2818.16,11.04,1,1.2472,1.2703,1.2955,1.4344
2010/5/12,IF1006,2870,2862.8,4694,51.84,1,1,37,2818.16,44.64,1,1.2472,1.2703,1.2955,1.4344
2010/5/12,IF1009,2900.2,2894.4,623,82.04,1,1,128,2818.16,76.24,1,1.2472,1.2703,1.2955,1.4344
2010/5/12,IF1012,2940,2932,891,121.84,1,1,219,2818.16,113.84,1,1.2472,1.2703,1.2955,1.4344
2010/5/19,IF1005,2763.4,2767.2,1159,1.23,1,1,2,2762.17,5.03,1,1.3097,1.3501,1.3709,1.5639
2010/5/19,IF1006,2784.8,2798,12817,22.63,1,1,30,2762.17,35.83,1,1.3097,1.3501,1.3709,1.5639
2010/5/19,IF1009,2811,2828.8,847,48.83,1,1,121,2762.17,66.63,1,1.3097,1.3501,1.3709,1.5639
2010/5/19,IF1012,2855,2869.2,1213,92.83,1,1,212,2762.17,107.03,1,1.3097,1.3501,1.3709,1.5639
2010/5/26,IF1006,2839.6,2829,15219,25.66,1,1,23,2813.94,15.06,1,1.597,1.62,1.6375,1.6976
2010/5/26,IF1007,2858.4,2852.2,1295,44.46,1,1,51,2813.94,38.26,1,1.597,1.62,1.6375,1.6976
2010/5/26,IF1009,2892.6,2884,788,78.66,1,1,114,2813.94,70.06,1,1.597,1.62,1.6375,1.6976
2010/5/26,IF1012,2946.8,2938.2,1357,132.86,1,1,205,2813.94,124.26,1,1.597,1.62,1.6375,1.6976
2010/6/2,IF1006,2776.4,2762,18691,18.87,1,1,16,2757.53,4.47,1,1.7763,1.7779,1.7802,1.7841
2010/6/2,IF1007,2789.4,2778.4,2270,31.87,1,1,44,2757.53,20.87,1,1.7763,1.7779,1.7802,1.7841
2010/6/2,IF1009,2822.8,2818.4,778,65.27,1,1,107,2757.53,60.87,1,1.7763,1.7779,1.7802,1.7841
2010/6/2,IF1012,2872.4,2860.2,1561,114.87,1,1,198,2757.53,102.67,1,1.7763,1.7779,1.7802,1.7841
2010/6/9,IF1006,2788.8,2786,16740,6.67,1,1,9,2782.13,3.87,1,1.5849,1.6924,1.7206,1.7424
2010/6/9,IF1007,2805.8,2800,5250,23.67,1,1,37,2782.13,17.87,1,1.5849,1.6924,1.7206,1.7424
2010/6/9,IF1009,2835.4,2826.8,886,53.27,1,1,100,2782.13,44.67,1,1.5849,1.6924,1.7206,1.7424
2010/6/9,IF1012,2867.2,2860.8,1942,85.07,1,1,191,2782.13,78.67,1,1.5849,1.6924,1.7206,1.7424
2010/6/23,IF1007,2765.2,2761.6,19132,6.7,1,1,23,2758.5,3.1,1,1.9592,2.05,2.0762,2.082
2010/6/23,IF1008,2783.6,2781,1692,25.1,1,1,58,2758.5,22.5,1,1.9592,2.05,2.0762,2.082
2010/6/23,IF1009,2805.6,2804.8,1027,47.1,1,1,86,2758.5,46.3,1,1.9592,2.05,2.0762,2.082
2010/6/23,IF1012,2853.2,2853.6,2393,94.7,1,1,177,2758.5,95.1,1,1.9592,2.05,2.0762,2.082
2010/6/30,IF1007,2579,2573.2,21872,15.93,1,1,16,2563.07,10.13,1,1.9735,2.0578,2.0883,2.1017
2010/6/30,IF1008,2593.4,2588.6,3047,30.33,1,1,51,2563.07,25.53,1,1.9735,2.0578,2.0883,2.1017
2010/6/30,IF1009,2610.4,2608.4,1162,47.33,1,1,79,2563.07,45.33,1,1.9735,2.0578,2.0883,2.1017
2010/6/30,IF1012,2664.8,2660,2704,101.73,1,1,170,2563.07,96.93,1,1.9735,2.0578,2.0883,2.1017
2010/7/7,IF1007,2568.4,2564.8,21290,-12.08,0,1,9,2580.48,-15.68,-1,1.918,2.0268,2.0271,2.0293
2010/7/7,IF1008,2583.2,2580.2,4304,2.72,1,1,44,2580.48,-0.28,-1,1.918,2.0268,2.0271,2.0293
2010/7/7,IF1009,2600,2596,1218,19.52,1,1,72,2580.48,15.52,1,1.918,2.0268,2.0271,2.0293
2010/7/7,IF1012,2649.6,2649,3269,69.12,1,1,163,2580.48,68.52,1,1.918,2.0268,2.0271,2.0293
2010/7/14,IF1007,2647,2641.6,10544,-6.61,0,1,2,2653.61,-12.01,-1,1.3056,1.4652,1.5112,1.77
2010/7/14,IF1008,2654.6,2653.2,15320,0.99,1,1,37,2653.61,-0.41,-1,1.3056,1.4652,1.5112,1.77
2010/7/14,IF1009,2668.8,2667.6,1308,15.19,1,1,65,2653.61,13.99,1,1.3056,1.4652,1.5112,1.77
2010/7/14,IF1012,2710.8,2708.8,3253,57.19,1,1,156,2653.61,55.19,1,1.3056,1.4652,1.5112,1.77
2010/7/21,IF1008,2744.4,2744,23282,-2.94,0,1,30,2747.34,-3.34,-1,1.3429,1.5181,1.5291,1.7606
2010/7/21,IF1009,2758.6,2758,3021,11.26,1,1,58,2747.34,10.66,1,1.3429,1.5181,1.5291,1.7606
2010/7/21,IF1012,2790.8,2790.6,3289,43.46,1,1,149,2747.34,43.26,1,1.3429,1.5181,1.5291,1.7606
2010/7/21,IF1103,2826.8,2825.6,364,79.46,1,1,240,2747.34,78.26,1,1.3429,1.5181,1.5291,1.7606
2010/7/28,IF1008,2887.4,2879.2,26047,23.68,1,1,23,2863.72,15.48,1,1.3358,1.5128,1.5057,1.8232
2010/7/28,IF1009,2898.8,2889.2,4559,35.08,1,1,51,2863.72,25.48,1,1.3358,1.5128,1.5057,1.8232
2010/7/28,IF1012,2938,2927.4,3159,74.28,1,1,142,2863.72,63.68,1,1.3358,1.5128,1.5057,1.8232
2010/7/28,IF1103,2975,2965.4,485,111.28,1,1,233,2863.72,101.68,1,1.3358,1.5128,1.5057,1.8232
2010/8/4,IF1008,2873.8,2872,24218,-2.63,0,1,16,2876.43,-4.43,-1,1.3425,1.5267,1.5397,1.8339
2010/8/4,IF1009,2889.2,2886.6,5558,12.77,1,1,44,2876.43,10.17,1,1.3425,1.5267,1.5397,1.8339
2010/8/4,IF1012,2931,2930,3190,54.57,1,1,135,2876.43,53.57,1,1.3425,1.5267,1.5397,1.8339
2010/8/4,IF1103,2971.2,2967.4,607,94.77,1,1,226,2876.43,90.97,1,1.3425,1.5267,1.5397,1.8339
2010/8/11,IF1008,2839.4,2840,18164,-10.81,0,1,9,2850.21,-10.21,-1,1.3239,1.5128,1.5258,1.8248
2010/8/11,IF1009,2850.2,2850,7249,-0.01,0,1,37,2850.21,-0.21,-1,1.3239,1.5128,1.5258,1.8248
2010/8/11,IF1012,2890.2,2890,3164,39.99,1,1,128,2850.21,39.79,1,1.3239,1.5128,1.5258,1.8248
2010/8/11,IF1103,2932.2,2932.4,699,81.99,1,1,219,2850.21,82.19,1,1.3239,1.5128,1.5258,1.8248
2010/8/18,IF1008,2945.8,2947.8,6117,8.44,1,1,2,2937.36,10.44,1,1.2796,1.484,1.5467,1.7909
2010/8/18,IF1009,2962.2,2964.4,24124,24.84,1,1,30,2937.36,27.04,1,1.2796,1.484,1.5467,1.7909
2010/8/18,IF1012,2999.4,3001.2,3350,62.04,1,1,121,2937.36,63.84,1,1.2796,1.484,1.5467,1.7909
2010/8/18,IF1103,3036,3040.4,835,98.64,1,1,212,2937.36,103.04,1,1.2796,1.484,1.5467,1.7909
2010/8/25,IF1009,2856.4,2863.8,26769,13.38,1,1,23,2843.02,20.78,1,1.3472,1.4994,1.56,1.7656
2010/8/25,IF1010,2867.6,2872.2,1763,24.58,1,1,51,2843.02,29.18,1,1.3472,1.4994,1.56,1.7656
2010/8/25,IF1012,2891,2899.2,3315,47.98,1,1,114,2843.02,56.18,1,1.3472,1.4994,1.56,1.7656
2010/8/25,IF1103,2927,2931,865,83.98,1,1,205,2843.02,87.98,1,1.3472,1.4994,1.56,1.7656
2010/9/1,IF1009,2890.2,2882,27086,6.16,1,1,16,2884.04,-2.04,-1,1.6026,1.6677,1.7162,1.84
2010/9/1,IF1010,2900.6,2892.6,2898,16.56,1,1,44,2884.04,8.56,1,1.6026,1.6677,1.7162,1.84
2010/9/1,IF1012,2934.8,2926.2,3223,50.76,1,1,107,2884.04,42.16,1,1.6026,1.6677,1.7162,1.84
2010/9/1,IF1103,2961.2,2956.4,824,77.16,1,1,198,2884.04,72.36,1,1.6026,1.6677,1.7162,1.84
2010/9/8,IF1009,2995.2,2991,26107,14.23,1,1,9,2980.97,10.03,1,1.491,1.703,1.7415,1.8237
2010/9/8,IF1010,3007.4,3002.6,4096,26.43,1,1,37,2980.97,21.63,1,1.491,1.703,1.7415,1.8237
2010/9/8,IF1012,3037.4,3033.4,3377,56.43,1,1,100,2980.97,52.43,1,1.491,1.703,1.7415,1.8237
2010/9/8,IF1103,3073,3067.4,782,92.03,1,1,191,2980.97,86.43,1,1.491,1.703,1.7415,1.8237
2010/9/15,IF1009,2920,2928.4,13494,6.81,1,1,2,2913.19,15.21,1,1.5294,1.733,1.7726,1.845
2010/9/15,IF1010,2929.6,2940.2,14009,16.41,1,1,30,2913.19,27.01,1,1.5294,1.733,1.7726,1.845
2010/9/15,IF1012,2959.2,2968.2,3612,46.01,1,1,93,2913.19,55.01,1,1.5294,1.733,1.7726,1.845
2010/9/15,IF1103,2991,2998.2,715,77.81,1,1,184,2913.19,85.01,1,1.5294,1.733,1.7726,1.845
2010/9/29,IF1010,2894.2,2888.8,18318,19.39,1,1,16,2874.81,13.99,1,1.6443,1.854,1.8771,1.8824
2010/9/29,IF1011,2905.8,2900.2,2460,30.99,1,1,51,2874.81,25.39,1,1.6443,1.854,1.8771,1.8824
2010/9/29,IF1012,2917,2912,4259,42.19,1,1,79,2874.81,37.19,1,1.6443,1.854,1.8771,1.8824
2010/9/29,IF1103,2957.4,2952,776,82.59,1,1,170,2874.81,77.19,1,1.6443,1.854,1.8771,1.8824
2010/10/13,IF1010,3206.8,3194.2,11797,-10.78,0,1,2,3217.58,-23.38,-1,1.5263,1.7367,1.8002,1.8959
2010/10/13,IF1011,3230,3217,12824,12.42,1,1,37,3217.58,-0.58,-1,1.5263,1.7367,1.8002,1.8959
2010/10/13,IF1012,3247,3233.8,4624,29.42,1,1,65,3217.58,16.22,1,1.5263,1.7367,1.8002,1.8959
2010/10/13,IF1103,3301.6,3287,1246,84.02,1,1,156,3217.58,69.42,1,1.5263,1.7367,1.8002,1.8959
2010/10/20,IF1011,3458.2,3451,28139,61.32,1,1,30,3396.88,54.12,1,1.5363,1.7988,1.8513,1.8994
2010/10/20,IF1012,3481.2,3477.6,6536,84.32,1,1,58,3396.88,80.72,1,1.5363,1.7988,1.8513,1.8994
2010/10/20,IF1103,3546.8,3541,2000,149.92,1,1,149,3396.88,144.12,1,1.5363,1.7988,1.8513,1.8994
2010/10/20,IF1106,3604.6,3590.4,329,207.72,1,1,240,3396.88,193.52,1,1.5363,1.7988,1.8513,1.8994
2010/10/27,IF1011,3488,3508.4,30275,84.13,1,1,23,3403.87,104.53,1,1.4828,1.7809,1.8536,1.9035
2010/10/27,IF1012,3527.6,3547.8,8072,123.73,1,1,51,3403.87,143.93,1,1.4828,1.7809,1.8536,1.9035
2010/10/27,IF1103,3608.6,3621,2306,204.73,1,1,142,3403.87,217.13,1,1.4828,1.7809,1.8536,1.9035
2010/10/27,IF1106,3676,3675.6,497,272.13,1,1,233,3403.87,271.73,1,1.4828,1.7809,1.8536,1.9035
2010/11/3,IF1011,3472.2,3475.6,26533,51.86,1,1,16,3420.34,55.26,1,1.5406,1.8171,1.8668,1.8947
2010/11/3,IF1012,3533,3534.8,10736,112.66,1,1,44,3420.34,114.46,1,1.5406,1.8171,1.8668,1.8947
2010/11/3,IF1103,3595,3596,2504,174.66,1,1,135,3420.34,175.66,1,1.5406,1.8171,1.8668,1.8947
2010/11/3,IF1106,3640,3649.2,632,219.66,1,1,226,3420.34,228.86,1,1.5406,1.8171,1.8668,1.8947
2010/11/10,IF1011,3525.8,3516.8,18520,26.69,1,1,9,3499.11,17.69,1,1.4535,1.7718,1.8742,1.97
2010/11/10,IF1012,3577,3565.4,18910,77.89,1,1,37,3499.11,66.29,1,1.4535,1.7718,1.8742,1.97
2010/11/10,IF1103,3662,3664,3434,162.89,1,1,128,3499.11,164.89,1,1.4535,1.7718,1.8742,1.97
2010/11/10,IF1106,3717,3721.6,843,217.89,1,1,219,3499.11,222.49,1,1.4535,1.7718,1.8742,1.97
2010/11/17,IF1011,3102.2,3118.6,3456,-1.71,0,1,2,3103.91,14.69,1,1.5828,1.814,1.8908,2.0246
2010/11/17,IF1012,3156,3164.2,28980,52.09,1,1,30,3103.91,60.29,1,1.5828,1.814,1.8908,2.0246
2010/11/17,IF1103,3212.4,3218.6,3369,108.49,1,1,121,3103.91,114.69,1,1.5828,1.814,1.8908,2.0246
2010/11/17,IF1106,3244.2,3259,804,140.29,1,1,212,3103.91,155.09,1,1.5828,1.814,1.8908,2.0246
2010/11/24,IF1012,3197.4,3191,23296,20.36,1,1,23,3177.04,13.96,1,1.9847,2.343,2.3934,2.4802
2010/11/24,IF1101,3241.4,3232.2,1603,64.36,1,1,58,3177.04,55.16,1,1.9847,2.343,2.3934,2.4802
2010/11/24,IF1103,3280,3274,3768,102.96,1,1,114,3177.04,96.96,1,1.9847,2.343,2.3934,2.4802
2010/11/24,IF1106,3333,3331,961,155.96,1,1,205,3177.04,153.96,1,1.9847,2.343,2.3934,2.4802
2010/12/1,IF1012,3145.6,3151.8,20223,9.58,1,1,16,3136.02,15.78,1,2.3415,2.6908,2.7145,2.7434
2010/12/1,IF1101,3172,3178.8,2049,35.98,1,1,51,3136.02,42.78,1,2.3415,2.6908,2.7145,2.7434
2010/12/1,IF1103,3211.6,3219,3672,75.58,1,1,107,3136.02,82.98,1,2.3415,2.6908,2.7145,2.7434
