Date,rf_1m,rf_2m,rf_3m,rf_6m,rf_10y
2010-04-21,1.1500 ,1.2920 ,1.3469 ,1.3980 ,3.4354 
2010-04-28,1.1961 ,1.3129 ,1.3297 ,1.4157 ,3.3456 
2010-05-05,1.2076 ,1.2803 ,1.3113 ,1.4292 ,3.3636 
2010-05-12,1.2472 ,1.2703 ,1.2955 ,1.4344 ,3.2781 
2010-05-19,1.3097 ,1.3501 ,1.3709 ,1.5639 ,3.1865 
2010-05-26,1.5970 ,1.6200 ,1.6375 ,1.6976 ,3.2272 
2010-06-02,1.7763 ,1.7779 ,1.7802 ,1.7841 ,3.2748 
2010-06-09,1.5849 ,1.6924 ,1.7206 ,1.7424 ,3.2845 
2010-06-23,1.9592 ,2.0500 ,2.0762 ,2.0820 ,3.4129 
2010-06-30,1.9735 ,2.0578 ,2.0883 ,2.1017 ,3.2790 
2010-07-07,1.9180 ,2.0268 ,2.0271 ,2.0293 ,3.2233 
2010-07-14,1.3056 ,1.4652 ,1.5112 ,1.7700 ,3.1744 
2010-07-21,1.3429 ,1.5181 ,1.5291 ,1.7606 ,3.2144 
2010-07-28,1.3358 ,1.5128 ,1.5057 ,1.8232 ,3.2982 
2010-08-04,1.3425 ,1.5267 ,1.5397 ,1.8339 ,3.2971 
2010-08-11,1.3239 ,1.5128 ,1.5258 ,1.8248 ,3.2685 
2010-08-18,1.2796 ,1.4840 ,1.5467 ,1.7909 ,3.2450 
2010-08-25,1.3472 ,1.4994 ,1.5600 ,1.7656 ,3.2154 
2010-09-01,1.6026 ,1.6677 ,1.7162 ,1.8400 ,3.2358 
2010-09-08,1.4910 ,1.7030 ,1.7415 ,1.8237 ,3.2632 
2010-09-15,1.5294 ,1.7330 ,1.7726 ,1.8450 ,3.3443 
2010-09-29,1.6443 ,1.8540 ,1.8771 ,1.8824 ,3.3310 
2010-10-13,1.5263 ,1.7367 ,1.8002 ,1.8959 ,3.4271 
2010-10-20,1.5363 ,1.7988 ,1.8513 ,1.8994 ,3.6201 
2010-10-27,1.4828 ,1.7809 ,1.8536 ,1.9035 ,3.6975 
2010-11-03,1.5406 ,1.8171 ,1.8668 ,1.8947 ,3.8113 
2010-11-10,1.4535 ,1.7718 ,1.8742 ,1.9700 ,3.9204 
2010-11-17,1.5828 ,1.8140 ,1.8908 ,2.0246 ,3.8600 
2010-11-24,1.9847 ,2.3430 ,2.3934 ,2.4802 ,3.9533 
2010-12-01,2.3415 ,2.6908 ,2.7145 ,2.7434 ,3.8919 
2010-12-08,2.1476 ,2.4941 ,2.5514 ,2.6417 ,3.8609 
2010-12-15,2.3542 ,2.8625 ,2.8921 ,2.9272 ,3.8150 
2010-12-22,2.6376 ,3.0250 ,3.0976 ,3.1603 ,3.8004 
2010-12-29,3.5479 ,3.4196 ,3.3427 ,3.3458 ,3.9019 
2011-01-05,2.4791 ,2.8040 ,2.8693 ,2.9250 ,3.8132 
2011-01-12,2.2241 ,2.7496 ,2.7735 ,2.7818 ,3.8550 
2011-01-19,2.6634 ,3.0097 ,2.9906 ,2.9125 ,3.9752 
2011-01-26,3.9308 ,3.4115 ,3.3465 ,3.2018 ,3.9991 
2011-02-09,3.0199 ,3.1530 ,3.1715 ,3.1763 ,4.1006 
2011-02-16,2.3395 ,2.7307 ,2.7717 ,2.9159 ,4.0450 
2011-02-23,2.1604 ,2.6888 ,2.7444 ,2.9477 ,3.9946 
2011-03-02,1.9964 ,2.4148 ,2.4840 ,2.6918 ,3.9233 
2011-03-09,1.8003 ,2.2849 ,2.3706 ,2.5680 ,3.8879 
2011-03-16,1.7954 ,2.3379 ,2.4930 ,2.6960 ,3.8600 
2011-03-23,1.9852 ,2.4891 ,2.6076 ,2.6897 ,3.9037 
2011-03-30,1.8471 ,2.4266 ,2.5883 ,2.7039 ,3.9069 
2011-04-06,1.8941 ,2.4757 ,2.6342 ,2.7161 ,3.9203 
2011-04-13,1.9295 ,2.4991 ,2.5758 ,2.7000 ,3.8703 
2011-04-20,1.8183 ,2.4180 ,2.5868 ,2.6856 ,3.8913 
2011-04-27,2.0632 ,2.5940 ,2.6318 ,2.7094 ,3.8812 
2011-05-04,2.2237 ,2.5585 ,2.6135 ,2.7200 ,3.8772 
2011-05-11,2.1230 ,2.5554 ,2.6027 ,2.7394 ,3.8334 
2011-05-18,2.6327 ,2.6589 ,2.7500 ,2.8777 ,3.8338 
2011-05-25,3.1589 ,3.0384 ,2.9000 ,2.9924 ,3.8382 
2011-06-01,2.6229 ,2.8831 ,2.9041 ,2.9451 ,3.8311 
2011-06-08,2.8652 ,2.9420 ,2.9461 ,2.9876 ,3.8572 
2011-06-15,3.2518 ,3.2065 ,3.2261 ,3.2628 ,3.9986 
2011-06-22,4.2704 ,3.5689 ,3.5780 ,3.5949 ,3.9555 
2011-06-29,3.1746 ,3.3864 ,3.4000 ,3.4444 ,3.8833 
2011-07-06,3.0324 ,3.2487 ,3.2592 ,3.2709 ,3.9116 
2011-07-13,2.8069 ,3.1319 ,3.2000 ,3.2763 ,3.8913 
2011-07-20,3.5445 ,3.3570 ,3.4429 ,3.5232 ,4.0715 
2011-07-27,3.2560 ,3.2782 ,3.3951 ,3.6766 ,4.0855 
2011-08-03,2.5465 ,3.1631 ,3.3228 ,3.6100 ,4.1201 
2011-08-10,2.5816 ,3.0614 ,3.2268 ,3.4544 ,3.9639 
2011-08-17,2.5314 ,3.0037 ,3.2142 ,3.5060 ,3.9432 
2011-08-24,2.9688 ,3.0817 ,3.2922 ,3.5442 ,3.9501 
2011-08-31,2.8843 ,3.3542 ,3.6175 ,3.8444 ,4.1050 
2011-09-07,2.8557 ,3.4453 ,3.6189 ,3.7794 ,4.0500 
2011-09-14,2.6430 ,3.2576 ,3.5444 ,3.7889 ,4.0210 
2011-09-21,3.0635 ,3.3154 ,3.5368 ,3.8443 ,4.0908 
2011-09-28,3.1657 ,3.2498 ,3.4301 ,3.5232 ,3.9203 
2011-10-12,2.7478 ,3.1364 ,3.1960 ,3.2040 ,3.8005 
2011-10-19,2.6302 ,3.0188 ,3.0898 ,3.0983 ,3.7311 
2011-10-26,3.0442 ,3.0824 ,3.1027 ,3.1129 ,3.7918 
2011-11-02,2.7669 ,3.0202 ,3.0459 ,3.0585 ,3.7208 
2011-11-09,2.5082 ,2.5441 ,2.5499 ,2.6072 ,3.6436 
2011-11-16,2.3896 ,2.4929 ,2.5118 ,2.5213 ,3.6260 
2011-11-23,2.7625 ,2.6355 ,2.6458 ,2.6483 ,3.5914 
2011-11-30,2.5867 ,2.7008 ,2.7057 ,2.7030 ,3.6091 
2011-12-07,2.2898 ,2.5767 ,2.5815 ,2.5829 ,3.4890 
2011-12-14,2.4439 ,2.6075 ,2.6140 ,2.5841 ,3.4807 
2011-12-21,2.3101 ,2.6475 ,2.6431 ,2.5922 ,3.4709 
2011-12-28,2.5537 ,2.7257 ,2.7398 ,2.6428 ,3.4603 
2012-01-04,2.5666 ,2.7381 ,2.7476 ,2.6590 ,3.4395 
2012-01-11,2.4776 ,2.7395 ,2.7400 ,2.7453 ,3.4208 
2012-01-18,3.8772 ,2.9351 ,2.8527 ,2.7978 ,3.3957 
2012-02-01,2.5161 ,2.8983 ,2.9182 ,2.7364 ,3.4318 
2012-02-08,2.4174 ,3.0367 ,3.0619 ,2.7663 ,3.5098 
2012-02-15,2.6207 ,3.0641 ,3.0654 ,2.9256 ,3.5335 
2012-02-22,2.9492 ,2.9221 ,2.9211 ,2.9002 ,3.5276 
2012-02-29,2.3873 ,2.9723 ,2.9646 ,2.9202 ,3.5340 
2012-03-07,2.3225 ,2.9068 ,2.8993 ,2.8583 ,3.5316 
